road_distance_meters,euclid_distance_meters,detour_ratio,spot_to_dest_distance_meters,road_eta_seconds,leaver_countdown_seconds,abs_eta_countdown_diff,signed_time_slack,hour_of_day,day_of_week,is_rush_hour,is_weekend,current_speed_kmh,heading_bearing_diff_deg,heading_dest_diff_deg,gps_accuracy_meters,ping_staleness_seconds,driver_reliability_rating,historical_acceptance_rate,historical_completion_rate,historical_cancellation_rate,lifetime_matches_count,spot_type_enum,vehicle_size_compatibility,has_landmark_note,landmark_note_length,match_success
388.2,285.9,1.358,221.5,84.9,240.0,155.1,-155.1,19,6,0,1,26.1,35.6,34.0,9.14,0.71,4.07,0.771,0.815,0.079,23,0,1,0,0,1
188.9,165.9,1.139,437.2,43.7,240.0,196.3,-196.3,9,4,1,0,22.1,10.2,38.2,17.45,2.39,4.61,0.968,0.923,0.037,9,0,1,1,28,0
513.1,438.2,1.171,61.1,64.0,180.0,116.0,-116.0,15,5,0,1,40.6,6.0,20.4,7.23,0.27,4.99,0.95,0.918,0.01,42,1,2,1,28,1
769.3,509.2,1.511,297.3,145.6,120.0,25.6,25.6,8,0,1,0,25.4,6.7,4.8,6.36,5.01,4.82,0.95,0.944,0.031,13,0,1,0,0,1
1287.0,870.5,1.478,30.2,166.6,180.0,13.4,-13.4,21,2,0,0,33.6,38.6,9.7,5.46,0.86,3.46,0.877,0.565,0.324,11,2,1,0,0,1
653.5,525.7,1.243,147.0,94.7,180.0,85.3,-85.3,15,5,0,1,34.0,7.5,29.5,14.2,11.49,4.7,0.915,0.927,0.021,0,1,1,1,28,1
1632.5,1085.3,1.504,125.1,453.5,180.0,273.5,273.5,16,5,0,1,13.6,73.1,32.1,14.12,0.33,4.55,0.724,0.778,0.054,22,1,1,0,0,0
664.7,356.0,1.867,387.4,87.3,240.0,152.7,-152.7,14,0,0,0,34.0,0.1,51.8,7.16,22.36,4.59,0.693,0.792,0.12,46,2,2,1,28,1
1273.9,804.3,1.584,438.7,206.1,120.0,86.1,86.1,9,0,1,0,24.2,7.2,21.4,10.42,4.8,4.86,0.96,0.959,0.033,2,0,1,0,0,1
1565.9,1220.7,1.283,110.2,634.0,240.0,394.0,394.0,11,5,0,1,9.3,44.8,1.2,7.48,7.52,4.47,0.869,0.8,0.105,21,2,1,0,0,0
270.6,208.3,1.299,303.0,117.0,240.0,123.0,-123.0,21,5,0,1,12.1,62.4,34.8,12.04,1.56,4.06,0.836,0.872,0.137,61,0,2,1,28,0
679.0,513.2,1.323,437.2,222.7,180.0,42.7,42.7,8,1,1,0,11.9,5.2,4.9,8.56,1.11,4.67,0.755,0.876,0.069,13,1,1,0,0,1
1018.7,998.7,1.02,36.0,152.3,300.0,147.7,-147.7,11,1,0,0,26.7,71.1,53.1,2.01,11.58,4.66,0.82,0.833,0.111,13,0,2,1,28,1
1059.5,606.0,1.748,193.0,99.6,180.0,80.4,-80.4,13,3,0,0,43.2,26.5,56.7,2.36,6.79,4.86,0.871,0.906,0.036,0,0,1,1,28,1
